index,cge_p1000852,cge_p1000850,cge_p1000857,cge_p1000854,cge_p524,cge_p1000866,cge_p1000840,cge_p1000860,cge_p507,cge_p1000864,cge_p1000844,cge_p1000862,cge_p1000842,cge_p1000848,cge_p504,cge_p515,cge_p509,cge_p540,cge_p510,cge_p1000859,iag_cientec
2015-03-03,19.0765,19.241166666666672,16.00483333333333,19.029666666666667,19.049833333333336,19.9715,18.719,20.058666666666664,16.409499999999998,18.024166666666666,16.233166666666666,19.125166666666665,19.090333333333326,20.161166666666666,17.425,19.5485,-9999.0,19.2935,19.97983333333333,18.584833333333336,17.5
2015-03-04,19.0785,18.841666666666672,15.3905,19.729666666666667,19.012833333333333,19.524833333333333,18.455666666666673,19.377166666666664,16.344,18.680666666666667,16.28016666666667,18.35483333333333,18.722666666666665,19.78,17.471833333333336,18.6505,-9999.0,18.470666666666666,19.325166666666664,18.957666666666668,17.4
2015-03-05,20.105833333333333,19.618833333333328,15.860666666666667,20.124000000000002,19.9545,20.7135,19.7195,20.459666666666667,16.47666666666667,19.0955,17.268666666666668,19.524833333333333,19.303333333333327,20.766833333333327,18.319666666666674,18.774666666666665,-9999.0,19.301666666666666,20.4465,19.823666666666664,18.7
2015-03-06,19.825333333333333,19.159166666666668,18.865166666666664,19.560166666666667,19.134,19.128833333333333,19.911,19.283166666666666,17.680000000000003,19.753166666666665,18.722333333333328,19.340333333333334,20.223166666666668,19.862166666666667,19.0145,19.471166666666665,-9999.0,18.455666666666673,19.212833333333336,19.390666666666664,19.8
2015-03-07,19.645666666666667,19.456166666666665,19.074833333333327,19.541666666666668,18.944166666666668,19.133666666666667,19.191,19.211,18.509333333333334,19.415833333333328,18.719166666666666,19.4545,19.8725,19.476166666666668,18.586666666666666,18.9845,18.927333333333333,18.967666666666666,19.415666666666667,19.132166666666667,19.8
2015-03-08,19.7665,19.447666666666667,18.705833333333327,19.6225,19.229333333333333,19.7615,19.583666666666666,19.749666666666666,18.0375,19.456,18.693833333333327,19.573666666666668,19.764666666666667,19.588666666666672,18.383333333333333,18.877,19.095333333333333,19.155833333333334,19.734833333333327,19.590333333333334,19.9
2015-03-09,19.7715,19.850333333333328,18.6855,19.850666666666665,19.241333333333333,19.603666666666665,19.593666666666667,19.766666666666666,18.004333333333335,19.8105,18.947333333333333,19.965,20.199833333333334,19.687833333333334,18.6535,19.384,19.308333333333326,19.155666666666665,19.736500000000003,19.6355,-9999.0
2015-03-10,19.736333333333327,19.416,18.308,19.53,19.659333333333333,20.218166666666665,19.973166666666668,20.248333333333328,17.656333333333333,19.753,18.2575,19.6945,20.407833333333333,20.125833333333333,18.762999999999998,19.590499999999995,19.607166666666664,19.711,20.084,19.805,20.3
2015-03-11,19.568666666666672,19.699666666666666,18.569833333333328,19.800166666666673,19.248333333333328,19.966333333333328,19.612333333333336,20.186166666666672,18.2675,18.697333333333333,18.081166666666665,19.291666666666664,19.796666666666663,19.7935,18.835,19.122166666666672,19.771666666666665,19.454333333333327,20.253500000000006,19.6105,20.1
2015-03-12,19.561833333333333,19.0195,17.074166666666667,19.273,18.856666666666666,19.773333333333333,18.585000000000004,20.026666666666667,16.896166666666666,18.269166666666667,16.903000000000002,18.929000000000002,18.413833333333333,19.496666666666666,17.3295,17.539,18.303,18.586666666666666,19.6895,19.0195,18.5
2015-03-13,19.674333333333333,19.043,18.034333333333333,20.072166666666664,19.437666666666672,20.4615,19.529833333333336,20.0285,18.222333333333328,19.08333333333333,17.819333333333333,18.685833333333328,19.51,20.256833333333333,18.281166666666667,19.127166666666668,19.931166666666673,19.4275,20.1845,19.295,19.1
2015-03-14,19.87733333333333,19.6575,17.636333333333333,19.9465,19.473,20.315333333333328,19.357,20.218166666666665,17.898333333333333,19.474666666666668,18.12,19.63566666666668,19.7565,20.167666666666666,18.63683333333333,18.808,19.211,19.139,20.045166666666667,19.483,19.3
2015-03-15,20.098833333333328,19.823666666666668,18.793,19.847333333333328,19.7635,20.432833333333328,19.842166666666667,19.865666666666673,18.38,19.447833333333328,18.521333333333327,19.204000000000004,20.320666666666664,20.2415,18.974166666666665,19.639,19.7565,19.051333333333336,20.0285,19.655833333333334,20.0
2015-03-16,18.836833333333328,18.850166666666667,17.950333333333337,19.452833333333334,18.348166666666668,19.212666666666667,18.969333333333328,18.915666666666667,17.524,18.35483333333333,17.355999999999998,18.15333333333333,-9999.0,19.7615,17.4135,18.4455,18.329833333333333,17.987333333333332,19.039666666666665,18.41733333333333,18.7
