Aiquile
3002
-18.203335
-65.178055
 2255
1943 10 - 2004  4
 18262  13570   74.3
---------------------------
Julday  Year Mo Da Param=13
2437407 1961  4 17    0.000
2437408 1961  4 18    0.000
2437409 1961  4 19    0.000
2437410 1961  4 20    3.000
2437411 1961  4 21    6.000
2437412 1961  4 22    8.000
2437413 1961  4 23    8.000
2437414 1961  4 24    3.000
2437415 1961  4 25    8.000
2437416 1961  4 26    6.000
2437417 1961  4 27    0.000
2437418 1961  4 28    0.000
2437419 1961  4 29    0.000
2437420 1961  4 30    0.000
2437421 1961  5  1    0.000
2437422 1961  5  2    6.000
2437423 1961  5  3    6.000
2437424 1961  5  4    6.000
2437425 1961  5  5    0.000
2437426 1961  5  6    0.000
2437427 1961  5  7    8.000
2437428 1961  5  8    8.000
2437429 1961  5  9    6.000
2437430 1961  5 10    6.000
2437431 1961  5 11    0.000
2437432 1961  5 12    8.000
2437433 1961  5 13    0.000
2437434 1961  5 14    3.000
2437435 1961  5 15    0.000
2437436 1961  5 16    6.000
2437437 1961  5 17    0.000
2437438 1961  5 18    0.000
2437439 1961  5 19    0.000
2437440 1961  5 20    8.000
2437441 1961  5 21    0.000
2437442 1961  5 22    0.000
2437443 1961  5 23    0.000
2437444 1961  5 24    3.000
2437445 1961  5 25    8.000
2437446 1961  5 26    0.000
2437447 1961  5 27    0.000
2437448 1961  5 28    0.000
2437449 1961  5 29    0.000
2437450 1961  5 30    6.000
2437451 1961  5 31    6.000
2437452 1961  6  1    8.000
2437453 1961  6  2    8.000
2437454 1961  6  3    0.000
2437455 1961  6  4    6.000
2437456 1961  6  5    0.000
2437457 1961  6  6    6.000
2437458 1961  6  7    0.000
2437459 1961  6  8    0.000
2437460 1961  6  9    0.000
2437461 1961  6 10    0.000
2437462 1961  6 11    8.000
2437463 1961  6 12    8.000
2437464 1961  6 13    0.000
2437465 1961  6 14    0.000
2437466 1961  6 15    0.000
2437467 1961  6 16    0.000
2437468 1961  6 17    0.000
2437469 1961  6 18    6.000
2437470 1961  6 19    3.000
2437471 1961  6 20    0.000
2437472 1961  6 21    3.000
2437473 1961  6 22    0.000
2437474 1961  6 23    3.000
2437475 1961  6 24    0.000
2437476 1961  6 25    8.000
2437477 1961  6 26    3.000
2437478 1961  6 27    8.000
2437479 1961  6 28    0.000
2437480 1961  6 29    3.000
2437481 1961  6 30    3.000
2437482 1961  7  1    0.000
